City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
188,Labuhan,ID,2020-07-12 21:16:25,-6.88,112.21,75.38,86,79,7.09,broken clouds,0,0
189,Sao Felix Do Xingu,BR,2020-07-12 21:16:25,-6.64,-51.99,83.61,54,51,2.17,broken clouds,0,0
190,Hithadhoo,MV,2020-07-12 21:12:16,-0.6,73.08,85.28,69,87,7.78,overcast clouds,0,0
191,Lorengau,PG,2020-07-12 21:16:26,-2.02,147.27,81.52,75,99,2.44,overcast clouds,0,0
192,Fortuna,US,2020-07-12 21:16:26,40.6,-124.16,72.0,60,40,18.34,scattered clouds,0,0
193,Padang,ID,2020-07-12 21:14:47,-0.95,100.35,76.6,80,38,4.23,light rain,0,0
194,Alibag,IN,2020-07-12 21:16:26,18.64,72.88,78.8,100,75,3.36,light rain,0,0
195,Pisco,PE,2020-07-12 21:15:05,-13.7,-76.22,64.99,77,46,9.17,scattered clouds,0,0
196,Quatre Cocos,MU,2020-07-12 21:15:00,-20.21,57.76,71.6,78,40,13.87,scattered clouds,0,0
197,Bethel,US,2020-07-12 21:16:17,41.37,-73.41,88.0,51,1,9.17,clear sky,0,0
198,Praia Da Vitoria,PT,2020-07-12 21:15:08,38.73,-27.07,73.4,69,20,10.25,few clouds,0,0
199,Clyde River,CA,2020-07-12 21:16:27,70.47,-68.59,44.6,87,90,10.29,overcast clouds,0,0
200,Skreia,NO,2020-07-12 21:16:27,60.65,10.93,59.0,62,2,2.24,clear sky,0,0
201,Tilichiki,RU,2020-07-12 21:16:27,60.47,166.1,50.18,96,100,5.1,overcast clouds,0,0
202,Nantucket,US,2020-07-12 21:16:27,41.28,-70.1,80.01,78,1,14.99,clear sky,0,0
203,Parana,AR,2020-07-12 21:16:27,-31.73,-60.52,62.01,42,44,4.7,scattered clouds,0,0
204,Starokamyshinsk,RU,2020-07-12 21:16:30,55.06,61.6,64.4,63,0,5.32,clear sky,0,0
205,San Policarpo,PH,2020-07-12 21:12:33,12.18,125.51,78.44,85,100,5.14,light rain,0,0
